Peak Number,Energy,Width,Amplitude
peakEnergy_0,0.010302426898551622,0.00534606397268121,0.45867853666811137
peakEnergy_1,0.01238260877198339,0.014961650978418124,1.0977613584017247
peakEnergy_2,0.15143843633635418,0.09192540454085583,0.1338349730078054
peakEnergy_3,0.18583675632124017,0.23990581485241244,0.1435120204024736
peakEnergy_4,0.11281489263390716,0.16363404291283645,0.3371246060435221
peakEnergy_5,5.731980460538923,2.7932436342002105,0.3931590009143883
peakEnergy_6,0.9656137944333645,0.7839738516047586,0.3155709112069742
peakEnergy_7,0.14287127072998265,0.18906480370497308,0.03193305497443049
peakEnergy_8,0.13795071583721485,0.20082455029203974,0.38324796150795115
peakEnergy_9,0.1599853118258048,0.15805030844639312,0.3044887518447931
peakEnergy_10,0.3890179944424165,0.3973575216351139,0.23874149199500283
peakEnergy_11,0.8154348533144754,0.9435989614237608,0.16170868869668073
peakEnergy_12,1.6025011700463747,1.2935648418227823,0.2642056017574192
peakEnergy_13,1.4041865972868421,2.3888553744419103,0.4683812549622369
peakEnergy_14,2.54333245958919,2.2905501522560034,0.799167692039662
peakEnergy_15,4.599967391188768,1.9206691542272447,0.10147019266760067
peakEnergy_16,4.417329510009413,3.4381099458859663,0.09622390555366166
